Four Seasons Hotel Kuwait at Burj Alshaya|https://www.fourseasons.com/kuwait/|Al Soor Street, Al Mirqab|Kuwait City|KW|2017-08-30|https://i.travelapi.com/hotels/18000000/17130000/17128300/17128224/d355a479_b.jpg|29.33975|47.96897|653472
Four Seasons Hotel Megeve|https://www.fourseasons.com/megeve/|373 Chemin des Follieres|Megeve|FR|2017-12-15|https://i.travelapi.com/hotels/20000000/19440000/19436000/19435949/bdfac718_b.jpg|45.84685|6.64316|726657
Four Seasons Hotel Tunis|https://www.fourseasons.com/tunis/|Zone Touristique Cap Gammarth|La Marsa|TN|2017-12-11|https://i.travelapi.com/hotels/21000000/20260000/20253900/20253839/c4f3e030_b.jpg|36.92077|10.29307|764648
Four Seasons Resort Los Cabos at Costa Palmas|https://www.fourseasons.com/loscabos/|Calle Hacienda Eureka s/n|La Ribera|MX|2019-08-01|https://i.travelapi.com/hotels/34000000/33900000/33899800/33899743/af5c198e_b.jpg|23.59727|-109.5821|1903667
Four Seasons Resort Seychelles at Desroches Island|https://www.fourseasons.com/seychellesdesroches/|Desroches Island|Desroches Island|SC|2018-03-01|https://i.travelapi.com/hotels/2000000/1080000/1071000/1070988/1fc4cb8b_b.jpg|-5.69771|53.65053|242465
FV by Peppers|https://www.peppers.com.au/fv/|191 Brunswick Street|Fortitude Valley|AU|2018-03-01|https://i.travelapi.com/hotels/20000000/19710000/19703600/19703560/90bb8034_b.jpg|-27.45616|153.03206|736729
Garza Blanca Los Cabos All Inclusive|https://cabo.garzablancaresort.com/|Carr Transpeninsular Km. 17.5|Cabo San Lucas|MX|2019-01-15|https://i.travelapi.com/hotels/34000000/33250000/33247400/33247352/d16c3c11_b.jpg|22.96854|-109.79225|1939416
Gennadi Grand Resort|https://www.gennadigrandresort.com/|Gennadi|Rhodes|GR|2018-06-01|https://i.travelapi.com/hotels/23000000/22210000/22203900/22203863/cb7a5262_b.jpg|36.01113|27.91892|813140
Gevora Hotel|http://gevorahotels.com/|Sheikh Zayed Road, Next to Al Attar|Dubai|AE|2018-02-01|https://i.travelapi.com/hotels/23000000/22940000/22938000/22937965/338df1d5_b.jpg|25.21252|55.27681|849887
Gran Hotel Costa Rica, Curio Collection by Hilton|http://curiocollection3.hilton.com/en/hotels/costa-rica/gran-hotel-costa-rica-curio-collection-by-hilton-SJOCUQQ/index.html|Central & Second Ave, between 1 & 3|San Jose|CR|2018-06-01|https://i.travelapi.com/hotels/1000000/20000/15800/15745/8f2f2702_b.jpg|9.93379|-84.07755|106356
